item_id,Brand Name,Generic Name,Category
ITM_6787,Nymalize,nimodipine 3 MG/ML Oral Solution,Other
ITM_6788,Glycophos,20 ML sodium glycerophosphate 216 MG/ML Injection,Other
ITM_6789,Iosat,potassium iodide 65 MG Oral Tablet,Other
ITM_6790,Wal-Hist 12 HR Relief,clemastine Extended Release Oral Tablet,Other
ITM_6791,Wal-Hist 12 HR Relief,12 HR clemastine fumarate 1.34 MG Extended Release Oral Tablet,Other
ITM_6792,Xofigo,6 ML radium chloride Ra-223 30 MCI/ML Injection,Other
ITM_6793,New-Skin Liquid Bandage,benzethonium Topical Spray,Skin/Topical
ITM_6794,New-Skin Liquid Bandage,benzethonium chloride 2 MG/ML Topical Spray,Skin/Topical
ITM_6795,Tretin X,tretinoin 0.75 MG/ML Topical Cream,Skin/Topical
ITM_6796,Mekinist,trametinib Oral Tablet,Other
ITM_6797,Mekinist,trametinib 0.5 MG Oral Tablet,Other
ITM_6798,Mekinist,trametinib 2 MG Oral Tablet,Other
ITM_6799,Healthy Mama,calcium carbonate Chewable Tablet,Other
ITM_6800,Healthy Mama,calcium carbonate 500 MG Chewable Tablet,Other
ITM_6801,Tafinlar,dabrafenib Oral Capsule,Other
ITM_6802,Tafinlar,dabrafenib 50 MG Oral Capsule,Other
ITM_6803,Tafinlar,dabrafenib 75 MG Oral Capsule,Other
ITM_6804,Zenzedi,dextroamphetamine Oral Tablet,Other
ITM_6805,Zenzedi,dextroamphetamine sulfate 10 MG Oral Tablet,Other
ITM_6806,Zenzedi,dextroamphetamine sulfate 5 MG Oral Tablet,Other
ITM_6807,LidoPro,capsaicin / lidocaine / menthol / methyl salicylate Topical Ointment,Skin/Topical
ITM_6808,Stridex,salicylic acid 20 MG/ML Medicated Pad,Other
ITM_6809,Lantiseptic Multi-Purpose,calamine / menthol / zinc oxide Topical Ointment,Skin/Topical
ITM_6810,Lantiseptic Multi-Purpose,calamine 0.02 MG/MG / menthol 0.0045 MG/MG / zinc oxide 0.18 MG/MG Topical Ointment,Skin/Topical
ITM_6811,Zenzedi,dextroamphetamine sulfate 2.5 MG Oral Tablet,Other
ITM_6812,Zenzedi,dextroamphetamine sulfate 7.5 MG Oral Tablet,Other
ITM_6813,Americaine Hemorrhoidal,benzocaine Topical Ointment,Skin/Topical
ITM_6814,Americaine Hemorrhoidal,benzocaine 0.2 MG/MG Topical Ointment,Skin/Topical
ITM_6815,Imodium Multi-Symptom Relief,loperamide / simethicone Oral Tablet,Other
ITM_6816,Imodium Multi-Symptom Relief,loperamide hydrochloride 2 MG / simethicone 125 MG Oral Tablet,Other
ITM_6817,My Way,levonorgestrel Oral Tablet,Other
ITM_6818,My Way,levonorgestrel 1.5 MG Oral Tablet,Other
ITM_6819,Bupap,acetaminophen 300 MG / butalbital 50 MG Oral Tablet,Other
ITM_6820,MVC-Fluoride,ascorbic acid 60 MG / cholecalciferol 0.01 MG / folic acid 0.3 MG / niacin 13.5 MG / riboflavin 1.2 MG / sodium fluoride 2.2 MG / thiamine 1.05 MG / vitamin A 0.75 MG / vitamin B12 0.0045 MG / vitamin B6 1.05 MG / vitamin E 15 UNT Chewable Tablet,Other
ITM_6821,Bloxiverz,neostigmine Injectable Solution,Other
ITM_6822,Bloxiverz,neostigmine methylsulfate 0.5 MG/ML Injectable Solution,Other
ITM_6823,Bloxiverz,neostigmine methylsulfate 1 MG/ML Injectable Solution,Other
ITM_6824,Revlimid,lenalidomide 20 MG Oral Capsule,Other
ITM_6825,Cosamin,chondroitin sulfates / glucosamine Oral Capsule,Other
ITM_6826,Cosamin,chondroitin sulfates 400 MG / glucosamine hydrochloride 500 MG Oral Capsule,Other
ITM_6827,Brisdelle,paroxetine Oral Capsule,Other
ITM_6828,Brisdelle,paroxetine mesylate 7.5 MG Oral Capsule,Other
ITM_6829,Gilotrif,afatinib Oral Tablet,Other
ITM_6830,Gilotrif,afatinib 20 MG Oral Tablet,Other
ITM_6831,Gilotrif,afatinib 30 MG Oral Tablet,Other
ITM_6832,Gilotrif,afatinib 40 MG Oral Tablet,Other
ITM_6833,Zubsolv,buprenorphine / naloxone Sublingual Tablet,Other
ITM_6834,Zubsolv,buprenorphine 1.4 MG / naloxone 0.36 MG Sublingual Tablet,Other
ITM_6835,Zubsolv,buprenorphine 5.7 MG / naloxone 1.4 MG Sublingual Tablet,Other
ITM_6836,Latuda,lurasidone hydrochloride 60 MG Oral Tablet,Other
ITM_6837,Simponi,4 ML golimumab 12.5 MG/ML Injection,Other
ITM_6838,Astagraf,tacrolimus Extended Release Oral Capsule,Other
ITM_6839,Astagraf,24 HR tacrolimus 0.5 MG Extended Release Oral Capsule,Other
ITM_6840,Astagraf,24 HR tacrolimus 1 MG Extended Release Oral Capsule,Other
ITM_6841,Astagraf,24 HR tacrolimus 5 MG Extended Release Oral Capsule,Other
ITM_6842,Fioricet,acetaminophen / butalbital / caffeine Oral Capsule,Other
ITM_6843,Fioricet,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule,Other
ITM_6844,Xolido,lidocaine Topical Cream,Skin/Topical
